event_id,issue_code,severity,message
MZ_mizora_1951:1971,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1971,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1971,duplicate_row,medium,Duplicate lineage row for MZ_mizora_1951
MZ_mizora_1951:1981,duplicate_row,medium,Duplicate lineage row for MZ_aizawl_1981
MZ_mizora_1951:1981,duplicate_row,medium,Duplicate lineage row for MZ_aizawl_1981
MZ_mizora_1951:1981,duplicate_row,medium,Duplicate lineage row for MZ_aizawl_1981
MZ_mizora_1951:1981,duplicate_row,medium,Duplicate lineage row for MZ_aizawl_1981
MZ_mizora_1951:1981,duplicate_row,medium,Duplicate lineage row for MZ_chhimt_1981
MZ_mizora_1951:1981,duplicate_row,medium,Duplicate lineage row for MZ_aizawl_1981
MZ_mizora_1951:1981,duplicate_row,medium,Duplicate lineage row for MZ_lungle_1981
MZ_mizora_1951:1981,duplicate_row,medium,Duplicate lineage row for MZ_aizawl_1981
ML_garohi_1971:1981,duplicate_row,medium,Duplicate lineage row for ML_westga_1981
ML_garohi_1971:1981,duplicate_row,medium,Duplicate lineage row for ML_eastga_1981
ML_ekhasi_1971:1981,duplicate_row,medium,Duplicate lineage row for ML_eastkh_1981
ML_ekhasi_1971:1981,duplicate_row,medium,Duplicate lineage row for ML_jainti_1981
ML_ekhasi_1971:1981,duplicate_row,medium,Duplicate lineage row for ML_jainti_1981
ML_ekhasi_1971:1981,duplicate_row,medium,Duplicate lineage row for ML_westkh_1981
ML_ekhasi_1971:1981,duplicate_row,medium,Duplicate lineage row for ML_westkh_1981
MN_tengno_1951:2024,cycle_rejected,high,Parent and child are identical (MN_tengno_1951)
MN_imphal_1991:2001,cycle_rejected,high,Parent and child are identical (MN_imphal_1991)
MN_imphal_1991:2001,duplicate_row,medium,Duplicate lineage row for MN_imphal_1991
MN_imphal_1991:2001,duplicate_row,medium,Duplicate lineage row for MN_imphal_1991
MN_manipu_1951:1971,cycle_rejected,high,Parent and child are identical (MN_manipu_1951)
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1971,duplicate_row,medium,Duplicate lineage row for MN_manipu_1951
MN_manipu_1951:1981,duplicate_row,medium,Duplicate lineage row for MN_tengno_1951
MN_manipu_1951:1991,duplicate_row,medium,Duplicate lineage row for MN_imphal_1991
MN_manipu_1951:1991,duplicate_row,medium,Duplicate lineage row for MN_imphal_1991
MN_manipu_1951:1991,duplicate_row,medium,Duplicate lineage row for MN_thouba_1991
MN_manipu_1951:1991,duplicate_row,medium,Duplicate lineage row for MN_ukhrul_1991
MN_manipu_1951:1991,duplicate_row,medium,Duplicate lineage row for MN_senapa_1991
MN_manipu_1951:1991,duplicate_row,medium,Duplicate lineage row for MN_churac_1991
MN_manipu_1951:1991,duplicate_row,medium,Duplicate lineage row for MN_tameng_1991
MN_tengno_1951:1991,cycle_rejected,high,Parent and child are identical (MN_tengno_1951)
MN_tengno_1951:1991,duplicate_row,medium,Duplicate lineage row for MN_tengno_1951
MH_ahmedn_1951:1971,cycle_rejected,high,Parent and child are identical (MH_ahmedn_1951)
MH_ahmedn_1951:1961,cycle_rejected,high,Parent and child are identical (MH_ahmedn_1951)
MH_ahmedn_1951:1981,cycle_rejected,high,Parent and child are identical (MH_ahmedn_1951)
MH_buldan_1951:1961,cycle_rejected,high,Parent and child are identical (MH_buldan_1951)
MH_buldan_1951:1981,cycle_rejected,high,Parent and child are identical (MH_buldan_1951)
MH_chandr_1961:1971,cycle_rejected,high,Parent and child are identical (MH_chandr_1961)
