icrisat_code_a,icrisat_code_b,parent_name,child_name,state,split_year,event_type,confidence
106.0,106.0,Solapur,Solapur,Maharashtra,,IDENTITY,1.0
107.0,107.0,Kolhapur,Kolhapur,Maharashtra,,IDENTITY,1.0
108.0,108.0,Aurangabad,Aurangabad,Maharashtra,,IDENTITY,1.0
109.0,109.0,Parbhani,Parbhani,Maharashtra,,IDENTITY,1.0
110.0,110.0,Beed,Bid,Maharashtra,,RENAME,1.0
111.0,111.0,Nanded,Nanded,Maharashtra,,IDENTITY,1.0
112.0,112.0,Osmanabad,Osmanabad,Maharashtra,,IDENTITY,1.0
113.0,113.0,Buldhana,Buldhana,Maharashtra,,IDENTITY,1.0
114.0,114.0,Akola,Akola,Maharashtra,,IDENTITY,1.0
115.0,115.0,Amarawati,Amarawati,Maharashtra,,IDENTITY,1.0
116.0,116.0,Yeotmal,Yeotmal,Maharashtra,,IDENTITY,1.0
117.0,117.0,Wardha,Wardha,Maharashtra,,IDENTITY,1.0
118.0,118.0,Nagpur,Nagpur,Maharashtra,,IDENTITY,1.0
119.0,119.0,Bhandara,Bhandara,Maharashtra,,IDENTITY,1.0
120.0,120.0,Chandrapur,Chandrapur,Maharashtra,,IDENTITY,1.0
121.0,121.0,Ahmedabad,Ahmedabad,Gujarat,,IDENTITY,1.0
122.0,122.0,Amreli,Amreli,Gujarat,,IDENTITY,1.0
123.0,123.0,Banaskantha,Banaskantha,Gujarat,,IDENTITY,1.0
124.0,124.0,Bharuch,Bharuch,Gujarat,,IDENTITY,1.0
125.0,125.0,Vadodara / Baroda,Vadodara,Gujarat,,RENAME,1.0
126.0,126.0,Bhavnagar,Bhavnagar,Gujarat,,IDENTITY,1.0
127.0,127.0,Valsad,Valsad,Gujarat,,IDENTITY,1.0
128.0,128.0,Dangs,Dangs,Gujarat,,IDENTITY,1.0
129.0,129.0,Jamnagar,Jamnagar,Gujarat,,IDENTITY,1.0
130.0,130.0,Junagadh,Junagadh,Gujarat,,IDENTITY,1.0
131.0,131.0,Kheda,Kheda,Gujarat,,IDENTITY,1.0
132.0,132.0,Kutch,Kutch,Gujarat,,IDENTITY,1.0
133.0,133.0,Mehsana,Mehsana,Gujarat,,IDENTITY,1.0
134.0,134.0,Panchmahal,Panchmahal,Gujarat,,IDENTITY,1.0
135.0,135.0,Rajkot,Rajkot,Gujarat,,IDENTITY,1.0
136.0,136.0,Sabarkantha,Sabarkantha,Gujarat,,IDENTITY,1.0
